SHAP_mean_intensity,SHAP_std_intensity,SHAP_entropy,SHAP_edge_density,SHAP_contrast,SHAP_glcm_contrast,SHAP_hist_entropy,SHAP_hist_skew,SHAP_method_DCT,SHAP_method_DWT,SHAP_method_DWT_DCT,SHAP_method_DWT_SVD,SHAP_method_SVD,SHAP_attack_Blur,SHAP_attack_Crop,SHAP_attack_JPEG50,SHAP_attack_JPEG70,SHAP_attack_Noise,SHAP_attack_Rotate,predicted_BER,actual_BER
-0.002418669512607604,0.004802855001968095,0.005824859213901514,0.007915864548265854,-0.006963790229572958,0.0,0.002053269505741081,0.024944001676858566,4.101617728472066e-07,-0.013055934775684607,0.000392697877190279,-0.016875869472199958,-0.030396188419706364,-0.0036755666588738777,-0.004990916056761801,-0.0010425395722655126,0.0007841663632879209,0.014134420795606069,0.08315402021062866,0.541552734375,0.6748046875
0.08132765164990267,0.015357380770335428,-0.005941518536459597,0.023444613397721147,-0.0049231668696974335,0.0,-0.009967490362020255,0.031447593471422945,-0.0002080102878556319,-0.006857672864451625,-0.0030184655747293957,0.014269802197136418,0.006326143216267805,-0.0043237214413332364,-0.02522000339356919,-0.0002358556477566195,-0.0007070432434780459,0.02902849295073908,-0.009850310649627643,0.6069140625,0.810546875
-0.013318639838684764,-0.002557838242626567,0.008008947039863549,0.0012707845805374634,-0.007290681676135964,0.0,0.00386939880360448,0.010299992642173988,0.00013495700061891806,0.006088404456436826,3.196838000242867e-05,0.002561274173375696,-0.009387187048489218,0.0048227434109052916,0.03401495162008098,-0.0009637297662306855,0.0021351715694687026,0.008009881598098215,-0.009315183045515017,0.515380859375,0.484375
0.0026302131292447327,0.007483624897821865,0.004903834844287451,-0.0006823231614013466,0.009790786497798472,0.0,0.0038492247121457504,0.006661686770688005,0.00032926735706266595,0.0031272033206083192,-9.866121168578676e-05,-0.07171346466501266,-0.005592158165925642,-0.03322064720216849,-0.01666956949051919,-0.0006934805293213079,0.0004464530753120496,0.017658100011145074,-0.028496046407512438,0.3766796875,0.3916015625
-0.01054868728856359,0.0006769426606626363,0.007082660169693002,0.004958071643223128,0.0079906787122734,0.0,0.008799322162534831,0.014455540700901517,0.0014910614248425256,0.0014476451439560127,-9.086400116323462e-05,0.06708996336377106,-0.005380216420103973,0.11913091390515182,-0.0007590968787141152,2.8342423294962877e-05,0.00048515369723546863,0.02617725595550369,-0.0010550185919443865,0.7189453125,0.7431640625
0.012998368396528369,0.006255824717979768,-0.0026472403129934735,-0.02383397732486163,-0.0012737237820526358,0.0,0.002447449157757269,0.0012245092890797778,-6.024846328053932e-05,0.002194635846582853,-0.00029975965548638373,0.008704390888683246,-0.014953317187418219,-0.010722296814601531,-0.006836647034585382,0.0005471102500698114,0.0021542437387322,0.042068348640294885,0.14053543593213028,0.63546875,0.8779296875
0.041016258447839,0.0015336425403002043,0.018312985218369826,0.019318692815634173,-0.007760894679161783,0.0,0.017766259297387968,-0.00898950270897358,0.0005353826249234133,-0.001601376308869344,-0.0002897556816018896,-0.005636087304216576,-0.006898050071033674,-0.007113127759219099,-0.010348155958542654,-0.000605226128056269,0.001922209580296879,0.0007098059286851537,0.10685465580378682,0.635693359375,0.8603515625
-0.005736898671238038,0.0026977854420912905,0.0038821129226113875,-0.0005194321734640003,-0.0017314908048191747,0.0,0.006967230485535531,0.011975276013679549,0.0011655702641411977,0.007504136640692077,0.0025159989296948218,-0.01050993277681802,-0.009179373047622126,-0.005416159667910031,0.003294236555283599,-0.00016304588410816733,0.0008487976969191377,0.010602626255113204,-0.004635738147221353,0.49052734375,0.361328125
0.005887859398200263,-0.001523238030111261,-0.0036258069841715395,0.010654564692708765,-0.0010220561169481948,0.0,-0.0020694406894113926,-0.06219979159145309,0.00020036483158217052,-0.008072405385255811,-0.00016584955423912793,0.008035225495657926,-0.007160501021035852,0.0011342197913272187,0.013000870659816893,-0.0022269184072066716,0.010542437205889082,0.03264161031499838,-0.02474678832779589,0.44625,0.5908203125
-0.006648612487517076,0.011172996738432325,0.0038003705592001475,-0.0018678604565759383,0.00449032198811627,0.0,0.008481857033682087,0.002122374961182149,0.00017307522278977067,0.006030270431214835,0.00027832195688249093,0.004403664647062866,0.10971166491579092,-0.0025782785918602264,-0.005445508111828714,0.0009321943733573016,0.004516491955408891,0.056304309389857296,0.1027426392573664,0.7755859375,0.8837890625
-0.05649060975597955,-0.0056895954417340465,-0.014664143653369521,-0.006483599004167484,-0.006585789598485511,0.0,-0.013116616756374322,0.0002281774356241687,0.0005325258375180705,0.003453422822524142,6.821184151000304e-05,-0.0075174540594836635,-0.0026622881004124185,-0.016647426724250184,-0.04582550391270478,-0.0010999283891434102,0.00011869276289285915,-0.005479112566786236,-0.016536247079623125,0.282568359375,0.166015625
0.03816447967338318,-0.004841256673266527,0.0019875815570816855,0.0028018358885432996,0.002463236613398044,0.0,0.002059192225024077,0.015108338045414664,0.00043221422051101336,0.006004519505516684,-0.0003271528012821693,-0.1277511944200895,-0.005814523067336572,-0.03028178131841065,-0.03045754521161341,0.0006293054982222089,0.0002459510563069698,0.020824597986509062,-0.029072817495371252,0.339140625,0.3408203125
0.18430872783382826,0.0558224816841523,0.007764593536002201,0.011666351770467162,0.0074987636310972165,0.0,0.012726156923146603,0.04779823689228095,0.004716358907054874,0.02128909407119382,0.0007507360339502338,0.07628542084374033,-0.005796166876968971,0.0009344330778975114,0.00957224184399985,-0.00023793521447174014,0.0006456134593666531,-0.04076862303458777,-0.0011999415995955019,0.8707421875,0.935546875
0.0013417242121963211,0.01707658705289851,0.006785022419106549,0.010767576085535352,0.009611393736188264,0.0,0.001410596101096764,0.013800060581764452,4.203431126337196e-05,0.001492395862160811,-0.0002201863331295662,0.04062005090059622,-0.016173561325121034,-0.012606765059090036,-0.009440440205021381,-0.00021808021096849796,0.0011390346522774345,0.04423476475819959,0.1517705862426281,0.7383984375,0.7705078125
